#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5443.623389846508     All      4.3718756741669596e-05     -6.0330435000411755e-06    -0.00035017199797738983    -3.183236611225185e-05     
Lambda        AB|CNIa02|SDSS_i                      7428.50465660312      All      -4.370446805352144e-07     -3.790679349563205e-06     -2.612329577228658e-05     -2.2581518533652287e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4677.003866017723     All      -0.00019318120777027153    6.319814030537376e-05      -0.00047951694160657367    6.211254953600805e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4342.649629327398     All      -0.00011275715681722842    6.38666295443663e-05       -7.978459621263041e-05     5.397175787637276e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5432.883157244786     All      3.188286477330092e-05      8.108531960961947e-06      -7.450264940267313e-05     -1.1068793413845338e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4419.703212404376     All      -0.00013852751325236118    7.777880435132673e-05      -8.68436879030678e-05      6.658264897751388e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7481.468369694714     All      -1.4853679092596763e-05    -8.50164503752649e-06      -9.842393538417032e-05     -2.323141723961258e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5299.844799475674     All      2.358003661578752e-05      1.992199470071112e-05      -6.583539347846408e-05     -4.1294758376631865e-06    
Lambda        AB|PS|PS_i                            7463.894169435167     All      7.226978762863778e-07      -3.3817077033732788e-06    -2.2361410981352237e-05    -2.3348269980797765e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7828.980547328948     All      6.868043998919023e-06      1.198128502238689e-06      2.4203132525446307e-05     -7.668033683042965e-07     
MWEBV         All|All|All                           All                   All      -0.847762997071178         -4.080532929706315         0.011268467411341436       -1.0525166620846202        
Redshift      All|All|All                           All                   All      5.849710671322433          0.2577507937882473         2.680682772142924          -1.7018587419383082        
