#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5348.955907973602     All      2.1430142078905166e-05     8.158586170327308e-06      -6.182710626811875e-05     -7.082042171762257e-06     
Lambda        Linear_AB11_off|NB99|NB99_v10                   5392.39579112067      All      1.6679112188303e-05        -6.100718559253405e-06     -0.00017222466195944335    -1.5105735972638485e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3581.475572652447     All      -0.00011965826564608817    4.499013306872785e-05      -0.0001223573160395508     4.8171155184820056e-05     
Lambda        Linear_AB11_off|NB99|NB99_b7                    4387.720866687945     All      -1.4715978066646098e-05    7.825339397425014e-06      -2.093273938166489e-05     6.408316667356034e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5425.9009401856965    All      4.040331140575906e-06      -2.754976764886899e-05     -0.00042482679877600747    -2.924800332956284e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4378.146171536491     All      -7.947671901460535e-05     1.8287130335998023e-05     -0.00023225645561065312    2.14803631700143e-05       
Lambda        Linear_AB11_off|NB99|NB99_v1                    5479.734944258642     All      1.2075232178469618e-05     -2.070335297779154e-06     -7.969838096042679e-05     -8.164249403201057e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6511.700232880326     All      -2.552505784444628e-05     4.3810951542902095e-07     -5.05211825740529e-06      8.231604937658234e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4337.0685554397505    All      -8.221093641387908e-05     1.1803213300031819e-05     -0.00027682316521169853    1.8270155074888667e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4303.564697487731     All      -6.141449215439339e-05     1.922007470456973e-05      -0.0001446231234843505     1.9811465453292212e-05     
Lambda        Linear_AB11_off|NB99|NB99_i1                    7926.989734746124     All      -4.0756816636316634e-07    4.364330900726856e-08      -3.2125606199902836e-07    1.3263823937347492e-07     
Lambda        Linear_AB11_off|NB99|NB99_v8                    5363.739849355469     All      7.323054474740599e-07      8.895368419975919e-07      -2.738134542830699e-06     -7.09749308939003e-08      
Lambda        Linear_AB11_off|NB99|NB99_r10                   7331.191663426        All      -2.7560822360338714e-05    -2.626637414784572e-07     -3.843938962051657e-05     7.1765349318727976e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7879.913371312964     All      3.131991875709584e-06      1.998604874564291e-06      2.2038973522169215e-05     6.143167333524071e-07      
Lambda        Linear_AB11_off|NB99|NB99_b1                    4242.384009316652     All      -3.5708047283360574e-05    1.4311217489387977e-05     -6.845700179527401e-05     1.3237998542930296e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.368459151811     All      -5.265802092423664e-05     -3.934892508423103e-06     -6.741174979123075e-05     1.2862449086128637e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5368.395906403731     All      2.378807923568649e-05      -1.684066165839788e-06     -0.00021128653816844257    -1.7725863560456976e-05    
Lambda        Linear_AB11_off|NB99|NB99_r1                    6522.364622467109     All      -1.6591462584667725e-06    2.354812310871082e-07      6.296379039976438e-07      6.452403525737973e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8198.015647924633     All      -4.2459495891804626e-06    1.797996867153642e-06      1.402153689520844e-05      2.5944289938037984e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.739149517773     All      -6.906694555112823e-05     1.941549802378197e-05      -0.00018476489548678587    2.0576434167172813e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7894.781139710321     All      5.907587641285577e-06      1.786531590671853e-06      2.4722039944168573e-05     -2.391324359161658e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5348.839928975804     All      2.0509623520350433e-05     8.414724761705877e-06      3.0143710587190168e-06     -3.8051889001954566e-06    
Lambda        Linear_AB11_off|NB99|NB99_b10                   4399.914456135775     All      -7.100675771815717e-05     6.981714044291863e-06      -0.0002584194057165019     1.3871339797813769e-05     
Lambda        Linear_AB11_off|NB99|NB99_r8                    6387.535899697487     All      -1.3142315248586183e-05    1.748347978543205e-07      2.826100657072151e-06      4.463949783862993e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8185.874181030739     All      -5.3228673964690845e-06    -5.75147171785995e-07      -1.3038723244053329e-05    9.64630338842926e-07       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6484.467209138915     All      -6.672764978507816e-05     -1.171375134072035e-05     -0.00016071529519837223    1.0747851140775509e-05     
Lambda        Linear_AB11_off|NB99|NB99_i10                   7875.706192848762     All      -3.417671276141109e-07     1.3844453825519054e-06     1.4045772299026265e-05     1.189082513072513e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6368.6744708044425    All      -6.764792576409654e-05     -2.8177079092418473e-06    -7.29375312397283e-05      1.7862467776876844e-05     
Lambda        Linear_AB11_off|NB99|NB99_i7                    8392.090405300041     All      -1.5944536080937407e-06    1.5413172340967627e-07     -1.347778868072551e-06     5.094265884617191e-07      
MWEBV         All|All|All                                     All                   All      -0.9302177639172111        -4.004436555714275         0.0532847112029647         -0.9989963473492696        
Redshift      All|All|All                                     All                   All      3.903074494059937          -0.021009500777680046      0.7126885532855222         -1.2463992387744303        
