#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5395.000360856919     All      4.1115899908640175e-05     3.8403140150525635e-06     -0.00020514618676017928    -2.1296616768642402e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6363.004661349937     All      5.481369675365694e-07      -1.495914516464459e-06     -3.93099262065325e-06      -8.412369618991933e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8333.13392047674      All      -1.4027569973886278e-05    -1.4465071156626035e-07    -1.4476467464625131e-05    3.87610528327895e-06       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3669.618921233468     All      -0.00045067382242813846    0.00016596356534200914     -0.00040745005284818043    0.00018267645945600877     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4422.6481048453115    All      -0.000397782212786146      0.00015289960438749612     -0.0006271621629676107     0.0001513878178654982      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8249.463091895508     All      2.2588060388558658e-06     -1.739817582477709e-06     -9.532032028624015e-06     -1.7278540746759171e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5417.782883262001     All      0.00012516830526259536     -3.5438775018825506e-05    -0.0008907150750133522     -9.206353275513035e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3669.6072485015497    All      -9.48928748965121e-05      3.6351955234811184e-05     -8.920902471411748e-05     3.8769769949670746e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4406.409498086187     All      -0.00022028715113064348    0.00010094891356126678     -0.00028598232992908145    9.187507670737007e-05      
MWEBV         All|All|All                                  All                   All      -0.8959456357401558        -4.0983810971409795        -0.06218771332652251       -1.045913738803439         
Redshift      All|All|All                                  All                   All      4.2961333326188225         -1.3738103265164447        0.04418953699881767        -1.8449152093050258        
