#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7537.462906984926     All      5.81374831182736e-06       -2.9563718986949928e-06    -1.2686651751616206e-05    -3.422863680942597e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5385.228299085322     All      7.630101368419515e-05      0.0001096011562117196      -0.00036419180542267586    -5.405255640189627e-06     
Lambda        AB|CNIa02|SDSS_i                      7484.102790612427     All      1.159025704988637e-05      -6.950915516660116e-06     -3.0904834877145994e-05    -7.418610731177684e-06     
Lambda        AB|PS|PS_i                            7519.757173827938     All      6.056972655808645e-07      -4.9463854019029414e-08    4.697444598256155e-07      -1.9244499303054872e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4376.343387614913     All      -0.0005329231033213162     0.00041475546508367225     3.942863930377162e-05      0.00031044960651127205     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6211.462030671463     All      0.00025144557780041986     -4.9246939032817734e-05    3.510988734324006e-05      -9.637865220430413e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5473.545198906819     All      0.00015152904546740766     5.148573074465384e-05      -0.00011940328621460537    -3.791581919679308e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7887.57601569683      All      2.8522133548181383e-05     -3.317520125600848e-06     4.225973082705581e-05      -8.485365000154913e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5339.511124666418     All      6.459044954085974e-05      0.00010722402014731229     -0.00023375768268686455    3.455624781222185e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4452.782178204876     All      -0.00029388849777569763    0.0001911135702067543      -0.00014570219110080534    0.00015147911003310802     
MWEBV         All|All|All                           All                   All      -0.8702137583503844        -4.12842979810506          0.008727791126217355       -1.060918675039213         
Redshift      All|All|All                           All                   All      3.0307491630224943         -5.963940855585825         0.4292980805673974         -2.910708853931787         
