#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|NB99|NB99_r10    7164.3940763161345    All      -0.00010954747554923592    1.6602614172326936e-05     -0.0001365740044878851     3.499656387841127e-05      
Lambda        Linear_AB11_off|NB99|NB99_v1     5355.061274729067     All      2.4879560074196998e-05     4.7472393229572965e-06     -0.0006321967701020044     -3.4769797477268506e-05    
Lambda        Linear_AB11_off|NB99|NB99_v4     5338.947560218674     All      2.6010976428893367e-05     1.894531329512393e-05      2.988115090531352e-07      -2.2881843508238308e-06    
Lambda        Linear_AB11_off|NB99|NB99_r4     6345.470613833993     All      -5.2108972874728935e-05    -1.6415123043842872e-06    -4.733995384075699e-05     1.4326347522527995e-05     
Lambda        Linear_AB11_off|NB99|NB99_r5     6397.980471575049     All      -5.0129013241784047e-05    1.266743772426102e-05      -3.1907877149895426e-05    1.9030968011892312e-05     
Lambda        Linear_AB11_off|NB99|NB99_r1     6373.969282224449     All      -9.117705297912183e-05     -2.0210209686001983e-06    -9.104195974151415e-05     2.497826824948997e-05      
Lambda        Linear_AB11_off|NB99|NB99_i1     7746.636686905818     All      -2.2634457338036457e-05    2.9642087376061827e-06     -1.0329148708567813e-05    7.877385245136433e-06      
Lambda        Linear_AB11_off|NB99|NB99_i4     7832.6141785785       All      -5.529882554279423e-07     -2.1672357568073434e-08    -1.1146070193255542e-06    1.2332727563917524e-07     
Lambda        Linear_AB11_off|NB99|NB99_r8     6242.208151554932     All      -2.158093040395604e-05     2.112912129920638e-06      1.2485628118952934e-05     8.275040256082486e-06      
MWEBV         All|All|All                      All                   All      -0.7978637872360501        -3.9375522128045404        0.07809601087261926        -1.0192147466055184        
Redshift      All|All|All                      All                   All      5.170425684315348          -0.5723367286938341        2.3237723239379866         -1.7669073630715564        
