#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4376.372039316392     All      -6.116495088416757e-05     1.9723656790858585e-05     -0.0001199969921922738     2.0993166040613896e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7889.775710270468     All      8.872871333552696e-06      1.2599333579513893e-06     2.532828519254112e-05      -1.3494993173365382e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6365.397757832383     All      -1.966792234232069e-05     1.7713457944494992e-06     -6.601265317968555e-06     6.688890810491367e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5485.8953011097055    All      4.1984548779325174e-06     -3.7106100164770972e-06    -3.5254165754271364e-05    -4.1494741377018866e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6213.194289009898     All      -9.232596535275343e-05     -1.774027316672581e-06     -9.901822513312761e-05     2.5077016675192955e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5341.000212520968     All      1.0188270749977523e-05     5.98415498311208e-06       2.523121022987523e-06      -1.2568235135883229e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7539.564961687473     All      -3.493640483595151e-05     2.0413639126712753e-06     -4.203656205412979e-05     1.0168977116354074e-05     
Lambda        AB|CNIa02|SDSS_r                      6173.287409026435     All      -2.5121783668433795e-05    -5.416954205875024e-06     -6.982596891233036e-05     3.3024989321073327e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4327.1108693232145    All      -5.1147652804577224e-05    2.5678799546463837e-05     -4.3806050936152256e-05    2.307004018657596e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5475.071666309305     All      1.8515925832445073e-05     -2.4079785586010744e-05    -0.0003561279375979266     -2.9767178784811654e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6367.740935452744     All      -9.301119618487567e-05     -6.42523005946468e-06      -0.0001484481383148577     2.157933914536661e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5386.730136588216     All      2.43323199146695e-05       -8.839285002583265e-06     -0.00034290321896151676    -2.6107278799667935e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4454.0239742618005    All      -0.00013379241098733594    4.453566354604795e-05      -0.00026999399058729004    4.603872893254891e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4377.563866350452     All      -8.041598579824032e-05     6.224958018334032e-06      -0.0002566293936961078     1.6769614618960122e-05     
MWEBV         All|All|All                           All                   All      -0.8990907999614826        -4.106193378839462         0.01122556079880837        -1.0441578752601117        
Redshift      All|All|All                           All                   All      3.6461530603198113         0.5577204349095588         -0.6845469760427386        -1.036552300041729         
