#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|NB99|NB99_v4     4798.617663746003     All      3.838004600183481e-06      -4.723151424841134e-07     -5.052666559530653e-05     -3.6587859704314622e-06    
Lambda        Linear_AB11_off|NB99|NB99_i4     7039.911953938491     All      -1.2164285891031813e-05    -1.7404910418218484e-06    -4.0377178036895566e-05    1.5935249049365703e-06     
Lambda        Linear_AB11_off|NB99|NB99_v12    4757.415273935377     All      -5.59651555549963e-05      -7.1652382104046555e-06    -0.0005609629605357316     -9.137461970294327e-06     
Lambda        Linear_AB11_off|NB99|NB99_b1     3726.27894654445      All      -0.0004650852371240952     0.00010582158226919802     -0.0008762531650795139     0.00014685997908058627     
Lambda        Linear_AB11_off|NB99|NB99_v1     4813.100584622447     All      -9.371436695433087e-05     -2.6422162278574495e-05    -0.0011531180816096926     -2.9539078991782258e-05    
Lambda        Linear_AB11_off|NB99|NB99_b12    3868.4011229869266    All      -0.0001469667501389813     -4.391348735619583e-07     -0.0009358511244243106     5.966127432993092e-06      
Lambda        Linear_AB11_off|NB99|NB99_r12    5725.0834605856535    All      -1.1174763914862443e-05    -4.559364746340833e-06     -0.00018852504452905375    -6.258153723765067e-06     
Lambda        Linear_AB11_off|NB99|NB99_r1     5728.889681134819     All      -1.689928286677805e-05     -1.1938320816491045e-05    -0.00013478349720093665    -4.398819891283817e-06     
Lambda        Linear_AB11_off|NB99|NB99_v7     4687.499188276468     All      3.328953229337132e-06      -6.554033022376919e-06     2.5649826591305448e-05     -2.074579807395832e-06     
Lambda        Linear_AB11_off|NB99|NB99_r10    6439.3192809782395    All      -0.00026774493668152617    -8.171072950030387e-06     -0.00039077322717897487    6.711333277132777e-05      
Lambda        Linear_AB11_off|NB99|NB99_r7     5592.472920137984     All      -2.7760941958711164e-07    -2.7105127280631215e-06    2.771473332808179e-05      4.4430461155413544e-07     
Lambda        Linear_AB11_off|NB99|NB99_v10    4736.386631611044     All      -2.7412837506783103e-05    -5.4831514472188054e-05    -0.00015255870008331403    -1.573915924326351e-05     
Lambda        Linear_AB11_off|NB99|NB99_b4     3724.404355728598     All      -0.0002964201799321612     0.00012149699940057768     0.0002036851198751685      0.00014521890578359512     
Lambda        Linear_AB11_off|NB99|NB99_r8     5610.463477862652     All      -2.6858641855668924e-06    1.1200014650211108e-09     -5.1944637037128216e-06    6.434340910824941e-07      
Lambda        Linear_AB11_off|NB99|NB99_b10    3864.645107206174     All      -0.0004591778682757311     0.0003839268069905531      0.0015978064392090173      0.00034592969297652103     
MWEBV         All|All|All                      All                   All      -0.6727520852155449        -3.4094163600347116        0.1048529515193391         -0.8867424822348591        
Redshift      All|All|All                      All                   All      8.044764985216556          -0.22214841590511014       13.013282991196872         -2.112082616067653         
