#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Lambda        Linear_AB11_off|NB99|NB99_r10    6904.574537366673    All      -0.0002057027739388763     -1.0096463789825507e-05    -0.00027938907522464553    5.124755923233693e-05      
Lambda        Linear_AB11_off|NB99|NB99_v1     5160.857893867354    All      4.0606490533584486e-05     1.6384496566240486e-05     0.0001012014793687843      -3.37374309244969e-06      
Lambda        Linear_AB11_off|NB99|NB99_r1     6142.814805998718    All      -9.766184731845048e-05     4.237538873753097e-06      -7.192165082014558e-05     2.9982449521121707e-05     
Lambda        Linear_AB11_off|NB99|NB99_b10    4143.874381566734    All      -0.0002402620003286485     0.0002658897231609007      0.0007344331235843267      0.00019764464541387688     
Lambda        Linear_AB11_off|NB99|NB99_r8     6015.832044003138    All      -2.256959006375431e-05     -1.0545196417247098e-06    -2.2411365368798085e-05    6.008049956516047e-06      
Lambda        Linear_AB11_off|NB99|NB99_i10    7417.402646040298    All      -0.00011878302860864618    7.67025980524942e-07       -0.00018002824881154804    3.090755195504529e-05      
Lambda        Linear_AB11_off|NB99|NB99_b1     3995.51095555053     All      -0.0002196715560727081     9.339543034903134e-05      -0.00015078487503475323    9.52473806325662e-05       
Lambda        Linear_AB11_off|NB99|NB99_v6     5159.186601309038    All      1.368086199149998e-05      -1.5220452248565237e-05    -0.0003792838364463724     -2.633980450593428e-05     
Lambda        Linear_AB11_off|NB99|NB99_v8     5051.612792184444    All      -2.793155235499261e-07     -6.993889563102167e-07     -1.391522382591242e-05     -7.578042660945578e-07     
Lambda        Linear_AB11_off|NB99|NB99_i1     7465.701893124097    All      -4.094977949493944e-05     4.408036915187363e-06      -4.22792565675931e-05      1.288780399360474e-05      
Lambda        Linear_AB11_off|NB99|NB99_b8     4102.494594869394    All      -2.3011621617641632e-05    -1.5937025306305498e-07    -0.00010447516162956392    2.781483459716064e-06      
Lambda        Linear_AB11_off|NB99|NB99_b6     4132.835576786589    All      -0.00013051726466657376    -1.2924678558013949e-05    -0.0007211500040910255     6.122161416315738e-06      
Lambda        Linear_AB11_off|NB99|NB99_v10    5078.601185741707    All      2.2026102380304954e-05     1.197769242520698e-05      -0.0007032522750439584     -3.4656016819583156e-05    
Lambda        Linear_AB11_off|NB99|NB99_i8     7749.109049764614    All      4.676768649843871e-06      -1.132215793058671e-06     -6.2031697042638605e-06    -2.168996316738336e-06     
Lambda        Linear_AB11_off|NB99|NB99_r16    5665.332518351363    All      9.858004052687954e-07      -2.485237306875594e-06     0.00012779087622231036     4.5720887069420626e-06     
MWEBV         All|All|All                      All                  All      -0.6852319289132729        -3.7680196694680035        0.06206698422439818        -1.0013956233602568        
Redshift      All|All|All                      All                  All      8.270388221241596          -0.14972403248822985       4.906506660714442          -2.523752717007149         
