#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Check         All|All|All                                  All                   All      0.9952957701704233         0.996764624952462          0.0002633544217749556      0.0004902066246977033      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5335.747764026446     All      1.0134390612235164e-05     6.7232565588751416e-06     -1.1699391642982013e-06    -1.1633275957227607e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6315.87448980348      All      -4.747956752697803e-05     1.0727074885217613e-06     -1.1558912323519496e-05    1.529925212611649e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3624.8621241118135    All      -0.0001911066739704717     6.614996967228961e-05      -0.0002748419806358835     7.153201703441215e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4374.074728098061     All      -0.00021976551104384724    9.984079177327888e-06      -0.0012191749840609425     2.0430820001571984e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.10131217038      All      2.9806833754315946e-05     1.0787752899637812e-05     -0.00021321955251340304    -1.571014969023269e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8170.961696406222     All      -1.4122400121349415e-05    2.6958200911141773e-06     2.074353804177738e-06      5.5708165093276685e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4330.823686692397     All      -8.004117459423557e-05     1.5511877702783596e-05     -0.00034423049160331855    1.5763346888392354e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4358.006304534646     All      1.2703681750119855e-06     -6.267911504497739e-07     1.4085477955559825e-06     -5.551101881011694e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6293.120597473897     All      -4.2904519930614114e-05    -3.8082273969593495e-07    -2.196852551289874e-05     1.2871012767313048e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5358.280068910757     All      6.132861038747476e-05      7.504337648685702e-06      -0.0007993294124799698     -5.320273688877685e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8241.612179698594     All      -2.2512436303917085e-05    3.040944185953656e-06      -9.559622728226808e-06     7.896974650196635e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6802.388355757304     All      -0.00012209527582639885    -1.670556597326437e-05     -0.00025020226959667494    2.316351756299349e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8158.860297093413     All      -1.4422183333102851e-05    2.4857323754651456e-06     -3.060281725179585e-08     5.5060987370047236e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3629.304422870764     All      -0.00010150890100007382    5.227673604061161e-05      2.228877408951374e-06      5.019250594322859e-05      
MWEBV         All|All|All                                  All                   All      -0.9856134745967893        -3.9587832093141984        0.06853351099202543        -0.9654008611438117        
Redshift      All|All|All                                  All                   All      4.205904813134706          -0.004969432976409394      3.0779784078488093         -1.2342642359074358        
